state,county_id,county,math_score,ela_score,num_students,pct_free_lunch,avg_ses,ln_median_income
AL,1001,Autauga County,0.059241866065731,-0.0819260091491665,714,0.49918777,0.26752579,10.871777
AL,1003,Baldwin County,-0.0292171692521046,-0.0188503339708572,2549,0.42284581,0.66113067,10.867903
AL,1005,Barbour County,-0.7797101375512071,-0.7158336779352436,208,0.75878572,-1.6194222,10.287202
AL,1007,Bibb County,-0.5810614868792314,-0.5057178408325119,217,0.65306312,-0.34820998,10.667659
AL,1009,Blount County,-0.4033661662594147,-0.2899952079007383,706,0.51728833,0.28268814,10.70172
AL,1011,Bullock County,-1.201240278758417,-1.055709764476036,103,0.92006463,-0.98027182,10.526834
AL,1013,Butler County,-1.173066015259938,-1.038675689057985,218,0.74500275,-0.69289011,10.513066
AL,1015,Calhoun County,-0.4465393321711305,-0.3452406258084415,1293,0.60929936,-0.51527137,10.658566
AL,1017,Chambers County,-0.6142475507179217,-0.539230374053562,287,0.74727035,-0.39219865,10.550853
AL,1019,Cherokee County,-0.1869179630528619,-0.4569671290029538,294,0.63726538,-0.08472117,10.541024
AL,1021,Chilton County,-0.5045363304079443,-0.5236228813046554,575,0.65230763,-0.47130477,10.663589
AL,1023,Choctaw County,-1.275001912133145,-1.10295845438074,105,0.8133899,-1.110985,10.392376
AL,1025,Clarke County,-0.6395509194321087,-0.5186915573939584,266,0.74905699,-0.96974802,10.434117
AL,1027,Clay County,-0.503794609740963,-0.2630208875147319,122,0.67947483,-0.35891703,10.534234
AL,1029,Cleburne County,-0.3338564863295473,-0.2690296842061398,179,0.53808278,-0.12240085,10.607285
AL,1031,Coffee County,-0.1167554207722058,-0.0894476171834814,776,0.48433727,0.044785023,10.820791
AL,1033,Colbert County,-0.1898231378994792,-0.1304368594596546,593,0.55401742,-0.014237861,10.67572
AL,1035,Conecuh County,-0.6795444111019483,-0.859384995520213,78,0.84426302,-0.81386703,10.442312
AL,1037,Coosa County,-0.90128913610885375,-0.786220013079573,63,0.67589206,0.066455819,10.479445
AL,1039,Covington County,-0.4172738806805707,-0.2345446214867094,477,0.57039231,-0.52367771,10.547775
AL,1041,Crenshaw County,-0.5252797590264942,-0.5622284281644401,164,0.65760577,-0.15843682,10.570229
AL,1043,Cullman County,-0.0090380669192443,-0.0807435306303108,956,0.52301979,-0.020710021,10.608177
AL,1045,Dale County,-0.2007213327465563,-0.2530501424389371,456,0.66002643,-0.4976474,10.658227
AL,1047,Dallas County,-0.9708185248655876,-0.9143770987721808,419,0.88654172,-1.8996613,10.328827
AL,1049,DeKalb County,-0.4116622023390258,-0.4620837227121728,924,0.66965866,-0.38656038,10.503934
AL,1051,Elmore County,-0.332127885271461,-0.2400253813916204,1015,0.51927078,0.35758984,10.90959
AL,1053,Escambia County,-0.2496548672769698,-0.268742243478226,373,0.71623224,-0.96976358,10.403249
